"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"xA_N_D_R_Ex","22","84","0","0","0","0","23.220001","0","0","0","0","byplayer","0","0","-","7","228","181.38356","181.38356","-","-","22-Hibner-xA_N_D_R_Ex-Gambin-Metaleiro-UNAMX9"
"Gambin-Metaleiro","22","86","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","0","174","26.881113","26.881113","-","-","22-Hibner-xA_N_D_R_Ex-Gambin-Metaleiro-UNAMX9"
"UNAMX9","22","85","0","0","0","0","0","0","0","0","0","byplayer","1","0","-","7","191","239.28828","239.28828","-","-","22-Hibner-xA_N_D_R_Ex-Gambin-Metaleiro-UNAMX9"
"men_ghuiszl","23","90","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","0","623","8.607626","8.607626","-","-","23-men_ghuiszl-Vhadow1982-Zaruniw-Abr_ilau"
"Vhadow1982","23","88","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","0","642","33.34237","33.34237","-","-","23-men_ghuiszl-Vhadow1982-Zaruniw-Abr_ilau"
"Zaruniw","23","87","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","0","757","95.30832","95.30832","-","-","23-men_ghuiszl-Vhadow1982-Zaruniw-Abr_ilau"
"Abr_ilau","23","89","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","0","630","33.21101","33.21101","-","-","23-men_ghuiszl-Vhadow1982-Zaruniw-Abr_ilau"
"Sky__Style_ya","24","93","0","0","0","0","86","0","0","0","0","byplayer","0","0","-","0","672","43.21898","43.21898","-","-","24-Sky__Style_ya-Ablegab_i-WoniSlarn-FPDJUSTSHOTX"
"Ablegab_i","24","94","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","0","654","28.626602","28.626602","-","-","24-Sky__Style_ya-Ablegab_i-WoniSlarn-FPDJUSTSHOTX"
"WoniSlarn","24","92","0","0","0","0","45.37564","0","0","0","0","byplayer","0","0","-","0","717","147.54291","147.54291","-","-","24-Sky__Style_ya-Ablegab_i-WoniSlarn-FPDJUSTSHOTX"
"FPDJUSTSHOTX","24","91","0","0","0","0","36","0","0","0","0","byplayer","0","0","-","0","756","66.73228","66.73228","-","-","24-Sky__Style_ya-Ablegab_i-WoniSlarn-FPDJUSTSHOTX"
"Mingal_Azedo","25","95","0","0","0","0","18.9","1","0","0","1","byplayer","0","0","-","2","213","193.6064","193.6064","-","-","25-Mingal_Azedo-loconube-escherionz"
"loconube","25","21","2","1","1","0","175","0","1","0","0","byplayer","0","0","11.481592","3","213","131.38887","131.38887","-","-","25-Mingal_Azedo-loconube-escherionz"
"escherionz","25","40","1","1","1","0","131.08723","1","1","0","0","byplayer","0","0","30.997778","3","213","256.69855","256.69855","-","-","25-Mingal_Azedo-loconube-escherionz"
"Kr_57","26","41","1","0","1","0","173.56609","0","1","0","0","byplayer","0","0","16.779108","3","206","125.06137","125.06137","-","-","27-Bieelzyn-Kr_57-iRampage-"
"iRampage-","26","96","0","0","0","0","70.48486","0","1","0","0","byplayer","0","0","-","2","206","165.86453","165.86453","-","-","27-Bieelzyn-Kr_57-iRampage-"
"R4vel-D4rk","27","22","2","0","2","1","115.504364","0","2","1","0","byplayer","0","0","8.630201","3","203","130.9668","130.9668","-","-","27-R4vel-D4rk"
"Romerito94","27","99","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","2","121","42.77281","42.77281","-","-","18-Scorpion_py-Romerito94-kako76-Javierlujan17"
"Crip_To-Ni_Ta","27","42","1","0","1","0","100","0","1","0","0","byplayer","0","0","5.4177275","4","203","67.76061","67.76061","-","-","21-Wizzback_cl-Crip_To-Ni_Ta-MonkeyDGenetic-JaehaerysSnow"
"MonkeyDGenetic","27","97","0","0","0","0","0","0","0","0","1","byplayer","0","0","-","2","171","142.3161","142.3161","-","-","21-Wizzback_cl-Crip_To-Ni_Ta-MonkeyDGenetic-JaehaerysSnow"
"JaehaerysSnow","27","98","0","0","0","0","196.99365","0","1","0","0","byplayer","0","0","-","3","170","132.62488","132.62488","-","-","21-Wizzback_cl-Crip_To-Ni_Ta-MonkeyDGenetic-JaehaerysSnow"
"Bieelzyn","27","100","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","2","110","30.928146","30.928146","-","-","27-Bieelzyn-Kr_57-iRampage-"
"VDS-Comefrango_1","28","43","1","1","1","0","123.22","0","1","0","0","byplayer","0","0","35.07069","4","173","80.52843","80.52843","-","-","28-VDS-Comefrango_1-SEVERGNINI__-FrigobarRGB"
"SEVERGNINI__","28","44","1","0","1","0","119.35","0","1","1","0","byplayer","0","0","2.034762","3","172","86.893425","86.893425","-","-","28-VDS-Comefrango_1-SEVERGNINI__-FrigobarRGB"
"FrigobarRGB","28","45","1","1","1","0","246.305","0","2","0","0","byplayer","0","0","5.6665344","2","155","63.914173","63.914173","-","-","28-VDS-Comefrango_1-SEVERGNINI__-FrigobarRGB"
"Edson_Li-847","29","46","1","0","1","0","84.21426","0","1","0","0","byplayer","0","0","10.747118","2","120","54.841698","54.841698","-","-","29-Edson_Li-847"
